ID,City,State,Zip Code,lat,lon,Industry Type (subparts),Industry Type (sectors),total,size
1013147,Herlong,CA,96113,40.15,-120.12,HH,Waste,173.5,1
1003804,CANTON,OH,44706,40.74,-81.4,HH,Waste,628.25,1
1007700,Erie,CO,80516,40.02,-105.03,HH,Waste,702,1
1007550,HALIFAX,MA,2338,41.99,-70.9,HH,Waste,734.75,1
1004364,WATSONVILLE,CA,95076,36.91,-121.83,HH,Waste,815.75,1
1005821,Saginaw,MI,48609,43.44,-84.07,"C,HH",Waste,872.798,1
1003586,PORT ORCHARD,WA,98367,47.5,-122.78,HH,Waste,896.25,1
1006418,CHEBANSE,IL,60922,41.03,-87.87,HH,Waste,896.75,1
1007953,BORDENTOWN,NJ,8505,40.13,-74.71,"C,HH",Waste,916.7,1
1007575,Conroe,TX,77301,30.31,-95.43,HH,Waste,917.5,1
1005865,PALO ALTO,CA,94303,37.45,-122.1,HH,Waste,1090.75,1
1007225,Mt. Holly,NJ,8060,39.98,-74.77,HH,Waste,1123.75,1
1003587,BARRE,MA,1005,42.39,-72.08,HH,Waste,1140.25,1
1006348,CHARLESTON,IL,61920,39.5,-88.29,HH,Waste,1237.75,1
1002446,PORTLAND,OR,97203,45.6,-122.76,HH,Waste,1441.25,1
1001595,Kailua,HI,96734,21.38,-157.77,HH,Waste,1471.25,1
1006117,BILOXI,MS,39532,30.5,-88.94,HH,Waste,1549,1
1007685,GRANBY,MA,1033,42.22,-72.55,HH,Waste,1588.75,1
1006285,MILAN,IL,61264,41.38,-90.51,HH,Waste,1633.25,1
1013940,Byhalia,MS,38611,34.99,-89.65,HH,Waste,1700.25,1
1007015,Fresno,CA,93706,36.69,-119.95,HH,Waste,1949.5,1
1006088,AKRON,OH,44313,41.15,-81.56,HH,Waste,2276.25,1
1007712,BROKEN ARROW,OK,74014,36.09,-95.73,HH,Waste,2394.25,1
1003800,SAN LEANDRO,CA,94577,37.71,-122.19,"C,HH",Waste,2402.946,1
1004561,FORT WORTH,TX,76117,32.79,-97.24,HH,Waste,2543,1
1003867,WINDSOR,CT,6095,41.89,-72.71,"C,HH",Waste,2728.25,1
1004646,Dallas,TX,75253,32.69,-96.63,HH,Waste,2898.25,1
1007701,MORRIS,IL,60450,41.37,-88.41,"C,HH",Waste,2930,1
1011716,Hanford,CA,93230,36.31,-119.6,HH,Waste,3036,1
1004707,MANASSAS,VA,20112,38.63,-77.43,"C,HH",Waste,3050.05,1
1003611,JOSEPH CITY,AZ,86032,35,-110.34,HH,Waste,3356.75,1
1007558,SAN DIEGO,CA,92111,32.84,-117.15,HH,Waste,3419.75,1
1003744,BEECHER,IL,60401,41.38,-87.64,HH,Waste,3448,1
1003034,AUBURN,NY,13021,42.95,-76.59,"C,HH",Waste,3461.598,1
1002094,BLOOMINGTON,IL,61704,40.47,-89.03,HH,Waste,3493.25,1
1006215,SAN MARCOS,CA,92069,33.1,-117.18,HH,Waste,3508.75,1
1003871,Sugar Creek,MO,64050,39.14,-94.4,"C,HH",Waste,3558.6,1
1005633,ERIE,CO,80516,40.02,-105.03,HH,Waste,3605.25,1
1003509,GRANITE CITY,IL,62040,38.75,-90.16,HH,Waste,3775.75,1
1004600,MICHIGAN CITY,IN,46360,41.65,-86.9,"C,HH",Waste,3802.45,1
1007888,Macon,GA,31211,32.82,-83.51,HH,Waste,3818.5,1
1007907,LITTLETON,CO,80126,39.56,-104.93,HH,Waste,3926.75,1
1005092,Oxnard,CA,93036,34.22,-119.22,HH,Waste,3965.25,1
1004557,PLAINVILLE,MA,2762,42.04,-71.3,"C,HH",Waste,4099.45,1
1003556,POTTSTOWN,PA,19464,40.27,-75.65,"C,HH",Waste,4566.796,1
1003275,WASHINGTON,WV,26181,39.26,-81.68,TT,Waste,4593,1
1004403,PORTERVILLE,CA,93257,36.02,-119.1,HH,Waste,4745.75,1
1003532,TAUNTON,MA,2780,41.92,-71.09,HH,Waste,4757.25,1
1004384,Puyallup,WA,98375,47.1,-122.29,HH,Waste,5079.5,2
1005893,LINN,TX,78563,26.58,-98.19,HH,Waste,5241.25,2
1005530,KANE,PA,16735,41.67,-78.64,"C,HH",Waste,5370.8,2
1005898,LITTLE ROCK,AR,72209,34.71,-92.33,HH,Waste,5436,2
1004309,KANSAS CITY,KS,66102,39.11,-94.69,HH,Waste,5489.75,2
1010391,Middleborough,MA,2346,41.93,-70.83,"C,HH",Waste,5610.25,2
1003031,CONSTABLE,NY,12926,44.98,-74.34,"C,HH",Waste,5629.698,2
1007836,FREMONT,CA,94538,37.5,-121.99,HH,Waste,5798.75,2
1007975,LEEPER,PA,16233,41.39,-79.29,"C,HH",Waste,5846.15,2
1007691,Library,PA,15129,40.28,-79.99,"C,HH",Waste,5897.15,2
1008115,DOLTON,IL,60419,41.64,-87.59,HH,Waste,5909.75,2
1006550,SNOHOMISH,WA,98296,47.86,-122.12,"C,HH",Waste,5936.348,2
1007669,CHICOPEE,MA,1020,42.17,-72.54,"C,HH",Waste,6254.398,2
1007589,MACOMB,IL,61455,40.48,-90.64,"C,HH",Waste,6465.798,2
1006204,EAST PEORIA,IL,61611,40.68,-89.51,"C,HH",Waste,6799.592,2
1004310,NEW HUDSON,MI,48165,42.51,-83.62,HH,Waste,6863.75,2
1013635,Clarkston,UT,84305,41.93,-112.05,HH,Waste,6917.5,2
1004882,SANTA MARIA,CA,93454,34.95,-120.38,"C,HH",Waste,6943.15,2
1002469,MEXIA,TX,76667,31.61,-96.5,HH,Waste,6995,2
1010207,City of Redlands,CA,92373,34.09,-117.22,HH,Waste,7000,2
