Year,Emissions,Source
2011,93830747,MSW Landfills
2012,94375607,MSW Landfills
2013,91159501,MSW Landfills
2014,90817114,MSW Landfills
2015,89590875,MSW Landfills
2016,86353508,MSW Landfills
2017,86306455,MSW Landfills
2018,88558124,MSW Landfills
2019,90216821,MSW Landfills
2020,86823784,MSW Landfills
2021,84717575,MSW Landfills
2011,9587532,Solid Waste Combustion
2012,9802563,Solid Waste Combustion
2013,9951903,Solid Waste Combustion
2014,9937201,Solid Waste Combustion
2015,10081903,Solid Waste Combustion
2016,10211846,Solid Waste Combustion
2017,9218022,Solid Waste Combustion
2018,9513854,Solid Waste Combustion
2019,9246070,Solid Waste Combustion
2020,9313071,Solid Waste Combustion
2021,9257218,Solid Waste Combustion
2011,8878828,Industrial Waste Landfills
2012,8706265,Industrial Waste Landfills
2013,8006675,Industrial Waste Landfills
2014,8488688,Industrial Waste Landfills
2015,8284916,Industrial Waste Landfills
2016,7933127,Industrial Waste Landfills
2017,7452112,Industrial Waste Landfills
2018,7374202,Industrial Waste Landfills
2019,7429522,Industrial Waste Landfills
2020,7401142,Industrial Waste Landfills
2021,7417628,Industrial Waste Landfills
2011,2558172,Industrial Wastewater Treatment
2012,2144219,Industrial Wastewater Treatment
2013,2190975,Industrial Wastewater Treatment
2014,2613631,Industrial Wastewater Treatment
2015,2080829,Industrial Wastewater Treatment
2016,1957746,Industrial Wastewater Treatment
2017,1945194,Industrial Wastewater Treatment
2018,2011423,Industrial Wastewater Treatment
2019,2052156,Industrial Wastewater Treatment
2020,1938284,Industrial Wastewater Treatment
2021,1862092,Industrial Wastewater Treatment
