Year,Weight,Management Pathway
1960,390.00,Landfilled
1970,2900.00,Landfilled
1980,6670.00,Landfilled
1990,13780.00,Landfilled
2000,19950.00,Landfilled
2005,23270.00,Landfilled
2010,24370.00,Landfilled
2015,26030.00,Landfilled
2017,26820.00,Landfilled
2018,26970.00,Landfilled
1960,,Combustion with Energy Recovery
1970,,Combustion with Energy Recovery
1980,140.00,Combustion with Energy Recovery
1990,2980.00,Combustion with Energy Recovery
2000,4120.00,Combustion with Energy Recovery
2005,4330.00,Combustion with Energy Recovery
2010,4530.00,Combustion with Energy Recovery
2015,5330.00,Combustion with Energy Recovery
2017,5590.00,Combustion with Energy Recovery
2018,5620.00,Combustion with Energy Recovery
1960,,Composted
1970,,Composted
1980,,Composted
1990,,Composted
2000,,Composted
2005,,Composted
2010,,Composted
2015,,Composted
2017,,Composted
2018,,Composted
1960,,Recycled
1970,,Recycled
1980,20.00,Recycled
1990,370.00,Recycled
2000,1480.00,Recycled
2005,1780.00,Recycled
2010,2500.00,Recycled
2015,3120.00,Recycled
2017,3000.00,Recycled
2018,3090.00,Recycled
