Entity,Code,Year,raw data,Cumulative global plastics production
World,OWID_WRL,1950,2000000,2
World,OWID_WRL,1951,4000000,4
World,OWID_WRL,1952,6000000,6
World,OWID_WRL,1953,9000000,9
World,OWID_WRL,1954,12000000,12
World,OWID_WRL,1955,16000000,16
World,OWID_WRL,1956,21000000,21
World,OWID_WRL,1957,26000000,26
World,OWID_WRL,1958,32000000,32
World,OWID_WRL,1959,39000000,39
World,OWID_WRL,1960,47000000,47
World,OWID_WRL,1961,56000000,56
World,OWID_WRL,1962,67000000,67
World,OWID_WRL,1963,80000000,80
World,OWID_WRL,1964,95000000,95
World,OWID_WRL,1965,112000000,112
World,OWID_WRL,1966,132000000,132
World,OWID_WRL,1967,155000000,155
World,OWID_WRL,1968,182000000,182
World,OWID_WRL,1969,214000000,214
World,OWID_WRL,1970,249000000,249
World,OWID_WRL,1971,287000000,287
World,OWID_WRL,1972,331000000,331
World,OWID_WRL,1973,382000000,382
World,OWID_WRL,1974,434000000,434
World,OWID_WRL,1975,480000000,480
World,OWID_WRL,1976,534000000,534
World,OWID_WRL,1977,593000000,593
World,OWID_WRL,1978,657000000,657
World,OWID_WRL,1979,728000000,728
World,OWID_WRL,1980,798000000,798
World,OWID_WRL,1981,870000000,870
World,OWID_WRL,1982,943000000,943
World,OWID_WRL,1983,1023000000,1023
World,OWID_WRL,1984,1109000000,1109
World,OWID_WRL,1985,1199000000,1199
World,OWID_WRL,1986,1295000000,1295
World,OWID_WRL,1987,1399000000,1399
World,OWID_WRL,1988,1509000000,1509
World,OWID_WRL,1989,1623000000,1623
World,OWID_WRL,1990,1743000000,1743
World,OWID_WRL,1991,1867000000,1867
World,OWID_WRL,1992,1999000000,1999
World,OWID_WRL,1993,2136000000,2136
World,OWID_WRL,1994,2287000000,2287
World,OWID_WRL,1995,2443000000,2443
World,OWID_WRL,1996,2611000000,2611
World,OWID_WRL,1997,2791000000,2791
World,OWID_WRL,1998,2979000000,2979
World,OWID_WRL,1999,3181000000,3181
World,OWID_WRL,2000,3394000000,3394
World,OWID_WRL,2001,3612000000,3612
World,OWID_WRL,2002,3843000000,3843
World,OWID_WRL,2003,4084000000,4084
World,OWID_WRL,2004,4340000000,4340
World,OWID_WRL,2005,4603000000,4603
World,OWID_WRL,2006,4883000000,4883
World,OWID_WRL,2007,5178000000,5178
World,OWID_WRL,2008,5459000000,5459
World,OWID_WRL,2009,5747000000,5747
World,OWID_WRL,2010,6060000000,6060
World,OWID_WRL,2011,6385000000,6385
World,OWID_WRL,2012,6723000000,6723
World,OWID_WRL,2013,7075000000,7075
World,OWID_WRL,2014,7442000000,7442
World,OWID_WRL,2015,7823000000,7823
World,OWID_WRL,2016,8223050000,8223.05
World,OWID_WRL,2017,8643102500,8643.1025
World,OWID_WRL,2018,9084157625,9084.157625
World,OWID_WRL,2019,9543903495,9543.903495
