Entity,Code,Year,raw data,Global plastics production
World,OWID_WRL,1950,2000000,2
World,OWID_WRL,1951,2000000,2
World,OWID_WRL,1952,2000000,2
World,OWID_WRL,1953,3000000,3
World,OWID_WRL,1954,3000000,3
World,OWID_WRL,1955,4000000,4
World,OWID_WRL,1956,5000000,5
World,OWID_WRL,1957,5000000,5
World,OWID_WRL,1958,6000000,6
World,OWID_WRL,1959,7000000,7
World,OWID_WRL,1960,8000000,8
World,OWID_WRL,1961,9000000,9
World,OWID_WRL,1962,11000000,11
World,OWID_WRL,1963,13000000,13
World,OWID_WRL,1964,15000000,15
World,OWID_WRL,1965,17000000,17
World,OWID_WRL,1966,20000000,20
World,OWID_WRL,1967,23000000,23
World,OWID_WRL,1968,27000000,27
World,OWID_WRL,1969,32000000,32
World,OWID_WRL,1970,35000000,35
World,OWID_WRL,1971,38000000,38
World,OWID_WRL,1972,44000000,44
World,OWID_WRL,1973,51000000,51
World,OWID_WRL,1974,52000000,52
World,OWID_WRL,1975,46000000,46
World,OWID_WRL,1976,54000000,54
World,OWID_WRL,1977,59000000,59
World,OWID_WRL,1978,64000000,64
World,OWID_WRL,1979,71000000,71
World,OWID_WRL,1980,70000000,70
World,OWID_WRL,1981,72000000,72
World,OWID_WRL,1982,73000000,73
World,OWID_WRL,1983,80000000,80
World,OWID_WRL,1984,86000000,86
World,OWID_WRL,1985,90000000,90
World,OWID_WRL,1986,96000000,96
World,OWID_WRL,1987,104000000,104
World,OWID_WRL,1988,110000000,110
World,OWID_WRL,1989,114000000,114
World,OWID_WRL,1990,120000000,120
World,OWID_WRL,1991,124000000,124
World,OWID_WRL,1992,132000000,132
World,OWID_WRL,1993,137000000,137
World,OWID_WRL,1994,151000000,151
World,OWID_WRL,1995,156000000,156
World,OWID_WRL,1996,168000000,168
World,OWID_WRL,1997,180000000,180
World,OWID_WRL,1998,188000000,188
World,OWID_WRL,1999,202000000,202
World,OWID_WRL,2000,213000000,213
World,OWID_WRL,2001,218000000,218
World,OWID_WRL,2002,231000000,231
World,OWID_WRL,2003,241000000,241
World,OWID_WRL,2004,256000000,256
World,OWID_WRL,2005,263000000,263
World,OWID_WRL,2006,280000000,280
World,OWID_WRL,2007,295000000,295
World,OWID_WRL,2008,281000000,281
World,OWID_WRL,2009,288000000,288
World,OWID_WRL,2010,313000000,313
World,OWID_WRL,2011,325000000,325
World,OWID_WRL,2012,338000000,338
World,OWID_WRL,2013,352000000,352
World,OWID_WRL,2014,367000000,367
World,OWID_WRL,2015,381000000,381
World,OWID_WRL,2016,400050000,400.05
World,OWID_WRL,2017,420052500,420.0525
World,OWID_WRL,2018,441055125,441.055125
World,OWID_WRL,2019,459745870,459.74587
